product_name,product_description,category,brand,price,quantity
Dell Inspiron 15,15.6 inch Laptop,Electronics,Dell,58999.00,15
HP Pavilion,Intel i5 Laptop,Electronics,HP,64999.00,10
MacBook Air M3,Apple Laptop,Electronics,Apple,124999.00,8
Samsung Galaxy S25,Android Smartphone,Electronics,Samsung,79999.00,20
iPhone 16,Apple Smartphone,Electronics,Apple,89999.00,12
Boat Rockerz 550,Wireless Headphones,Accessories,Boat,1999.00,50
Sony WH-1000XM5,Noise Cancelling Headphones,Accessories,Sony,27999.00,18
Logitech MX Master 3S,Wireless Mouse,Accessories,Logitech,8999.00,35
Logitech K380,Bluetooth Keyboard,Accessories,Logitech,3499.00,40
Samsung 27 Monitor,27 inch LED Monitor,Electronics,Samsung,17999.00,16
LG Smart TV 43,43 inch 4K Smart TV,Electronics,LG,38999.00,7
Nike Air Max,Sports Running Shoes,Footwear,Nike,6499.00,25
Adidas Ultraboost,Running Shoes,Footwear,Adidas,8999.00,18
Puma Casual Shoes,Men Casual Shoes,Footwear,Puma,4299.00,30
Levis Jeans,Blue Denim Jeans,Clothing,Levis,2499.00,45
Allen Solly Shirt,Cotton Formal Shirt,Clothing,Allen Solly,1899.00,40
Wildcraft Backpack,Travel Backpack,Bags,Wildcraft,2199.00,22
American Tourister Trolley,Travel Luggage,Bags,American Tourister,6499.00,14
Milton Water Bottle,Steel Water Bottle,Home,Milton,699.00,60
Prestige Pressure Cooker,5 Litre Pressure Cooker,Kitchen,Prestige,2899.00,20